num,date,daily_fuel_mrv,SVM_预测,XGBoost_预测,EnsembleModel_预测,NGBoost_预测,LightGBM_预测,Improved_XGBoost_预测
1,2021-09-23,71.43,70.95484369930405,69.17629240940221,68.56524656328868,71.71280530286167,70.83361078962703,70.33436853212343
1,2021-09-29,64.52,70.69765512384907,65.56433268594553,65.18720148398202,71.95647284238741,70.36249853505062,68.15995640762446
1,2021-10-02,62.02,64.51613439392018,64.25563523021125,62.10933237799608,65.72958675529206,64.56192145609845,64.27231262412678
1,2022-05-04,68.61,66.43093520479017,68.28243131615152,67.79956179088926,66.87561439697816,67.48408543273688,66.0339418644547
1,2022-07-10,52.42,53.90712030722209,52.352833832548995,52.19163043064443,52.349889351513134,50.942563740564005,51.349850958015395
1,2023-03-08,61.59,55.27334646737272,58.201169445948636,58.65873153549568,57.291030821708304,57.00337259630197,56.93095533201447
1,2023-06-06,60.67,55.66562819778956,63.11331937321869,59.331659262962546,57.422679291590526,59.77499842982182,58.27117718675524
1,2024-02-24,48.96,51.47014139930818,50.777939835643664,54.23951399985232,51.21673489256277,50.103496443979346,50.53901599906693
1,2024-03-08,63.94,67.38353882279226,63.54599281428447,65.69992619153861,65.8860271956426,65.06167819901916,65.68704053083371
2,2021-04-13,52.21,54.29474997164239,51.6293796851933,54.4860564329008,54.124736652043936,53.13389146178972,52.55923202316454
2,2021-05-26,59.96,59.54822776577668,61.038405581539244,59.62640765381881,59.32844486352093,59.03914522494687,59.11353378878259
2,2021-07-06,99.73,95.20501764248895,94.04067546531904,99.47952030360283,95.57018849064352,95.34147000819847,94.94685705367824
2,2021-08-30,53.18,53.41412436968524,54.596431499275816,52.78162204843656,54.65881238819051,54.916078412122985,55.236870346847454
2,2023-03-19,44.93,49.208192492435145,51.64368325153806,51.58523195109091,49.772598870040774,50.331600174622864,49.43740533604504
2,2023-04-04,50.28,52.33539142709669,50.96623651770117,51.86735683295825,51.31489310652457,51.304069702643936,51.90459501630022
2,2023-04-12,55.92,56.64850908007824,55.776613465619086,57.263728821569735,56.55446279670413,56.366033684075205,56.87164638533641
2,2023-05-06,51.99,58.18445820152488,61.604692026016934,60.299415719959825,59.78005164328545,60.8658965512389,58.886449676077746
2,2023-07-10,57.11,54.37795141855963,55.34747543149933,58.72778630467584,54.01777012724499,53.75033985476004,54.233818209641335
2,2023-08-14,64.08,67.364758814307,74.08771350936755,70.68182466283668,69.43924031527445,69.97022591324905,68.08323548833178
2,2023-09-04,51.49,51.35613926116744,50.85984539223413,48.90635158650961,51.61240621485348,50.376613795419544,51.01540828745179
2,2023-10-13,53.24,52.709059021295154,49.36115499140535,52.216299921128744,50.61571701752945,50.04088491962157,51.80761302216812
2,2023-11-23,60.72,64.62091614804633,64.21326778582,61.9882128274091,65.44569059791833,65.03221339813227,64.78175021921086
2,2023-12-05,61.03,64.75541801757646,64.79052423644863,63.71717008323837,65.10451741692573,65.27330606117356,65.71983462331453
2,2024-01-31,54.21,54.99532373623685,51.97395126803573,56.69817020797778,54.25346785231476,53.23173257540955,54.18383509703463
2,2024-04-16,56.38,61.24210968029658,58.806057828417615,61.16851645435352,61.91001794251655,60.766066907408316,60.890033565277776
2,2024-04-18,60.65,61.44513679853774,63.243519792801024,65.12335590041711,61.26498816763294,62.20441821054195,60.874431863650365
2,2024-04-19,62.65,60.655339573385994,62.06593504577478,63.11244450311749,60.87929379916333,61.24939965678266,59.95938010458909
2,2024-05-01,57.55,53.586597913164155,53.60807132160359,56.27114503554838,54.214975796507254,54.012100634655894,53.36841731038904
2,2024-05-04,57.04,55.258233287208654,54.05291834546204,57.61026450332272,55.88689074321,54.809200834361164,54.9485121840182
2,2024-05-09,59.61,57.3574675446074,62.018842895569094,60.93282624152423,59.0921445836008,60.034082672715925,59.10026470135164
2,2024-06-21,67.8,60.847204139877135,62.852521098673556,64.85308491829042,60.70528308840918,61.13975067851567,60.676472742926585
2,2024-10-01,51.48,54.87406052487903,51.581796495888966,55.59212990963317,54.72162199651692,54.474874592427746,54.114709952740405
2,2024-11-17,71.0,64.08491755385519,66.74423133812604,67.01990601990934,65.812549479355,66.93670018038253,66.59469383028603
3,2022-01-11,61.82,59.50084263521415,63.278927332561715,62.76467574745453,61.57093570403647,61.985692553803844,59.55160506482558
3,2022-07-17,63.24,62.96593549945987,61.777031267633696,63.439841585512994,64.34944112237072,64.33182490360412,63.99203495450975
3,2022-11-12,52.68,51.412973974280234,53.20287689972245,55.21474831196993,52.20504823643392,51.28273135241118,52.83775179657142
3,2023-01-30,71.8,68.63352223639465,69.46465893106955,70.28297380494107,69.58886412628809,69.16704251261524,70.69038929452589
3,2023-02-06,56.92,51.50206043022213,51.73216627972461,56.35322949822412,52.246705702923634,51.61982863919927,52.80639732549458
3,2023-02-07,56.67,49.614922979396106,54.14556097400814,55.75178985841664,51.56056168803023,52.41116312404241,51.62100297227178
3,2023-02-09,59.39,53.5161919421388,56.51976925822788,57.18786530444025,54.49151393400861,55.19296797089206,54.59754007857708
3,2023-02-10,53.06,53.01705243234882,57.370978046641405,57.02694721362831,54.35033108419721,55.84699353077986,54.920238767478395
3,2023-02-12,52.46,54.06105022787644,56.29247034119833,54.645356599553814,54.14778467911947,54.93293693332307,54.53524408081422
3,2023-02-13,52.45,53.341243974127856,56.62253380403356,54.55328009489765,53.58687316515766,54.57790145713665,53.99614021852205
3,2023-02-14,52.08,52.378700034773054,57.1712690423938,55.126015213948214,53.578518382714286,54.154159670344534,53.57042802675069
3,2023-02-16,51.9,53.76671980446777,56.83664620793244,55.10464881785729,54.82559975253236,54.99899778956765,54.67562870278328
3,2023-02-18,53.39,53.09555563333718,56.54018196453387,54.79644317887163,55.866965427415856,57.50355029346225,54.85399101222541
3,2023-02-22,56.48,59.74330307298864,61.533697116218725,59.26522249927647,61.381699059839846,62.66035534808162,61.62654567157366
3,2023-04-10,58.23,61.03372871414121,63.02981177939138,58.74389151274039,62.57278013022958,63.20320782910706,61.13849534408376
3,2023-04-12,52.02,54.45726934395694,55.76374284786985,52.790470348733685,55.8994897498179,55.14385413447076,54.43910011142258
3,2023-07-20,65.44,64.45812858384721,63.429911457739124,66.67392722523189,67.31409882103446,66.50464784417339,67.0475287839345
3,2023-07-23,58.67,54.46752927105399,53.26858713787925,57.05011527888852,54.684198570539294,53.45980020381333,54.915929706490125
3,2023-08-04,66.09,62.29466306233846,60.45251236438437,64.86865667984304,62.16898131337693,61.605630532054406,62.08583716407652
3,2023-08-05,65.01,59.70392970664883,59.31432497211669,62.99961235538208,60.08573724270714,59.97012111441052,60.35914091560251
3,2023-08-13,61.66,59.0383623237929,60.03058144551971,60.22559636886396,58.73566053414303,59.175528916273485,59.5338303607333
3,2024-01-18,56.64,56.767074683443106,56.879808536937645,57.45429466321487,57.41897665321669,57.53216184852788,56.17662769818043
